crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
55,5,0.18734818,0.1575296384,-0.1065270809,-0.2139440582,-0.0653268919,0.1163294494,-0.4167142083,-0.0653268919,-0.3293836112,-0.4167142083,-0.2881834222,-0.1065270809,-0.2139440582,0.4346731081,-0.1065270809,0.0382242574,1,1,0,1,0,1,1,1,1,1
56,5,0.1868534157,-0.2119974056,0.17047518,0.0886583671,0.2697268469,-0.4818330544,-0.1120493321,-0.06110894,-0.3766852871,0.0263642511,-0.3628867383,0.4494435336,-0.1091214846,-0.0612785086,-0.1084745146,0.286594435,0,0,1,1,1,1,1,1,1,1
57,6,0.1852454213,-0.365560637,-0.2404628569,0.2127542281,0.2992462433,0.2595371431,0.2973784009,0.3816419179,0.4429409905,-0.0138605548,0.0520436884,0.4429409905,-0.1831135974,-0.2831571969,-0.4238592242,-0.0984870761,0,0,1,1,1,0,1,1,1,1
58,6,0.1830277252,0.0551579627,0.004276805,-0.6222034136,-0.1948420412,0.2542768344,-0.2686500185,0.0551579527,-0.4957231922,0.0849033819,-0.1948420357,-0.0962816562,-0.3743211169,-0.1948420357,-0.3951646798,-0.1629789041,0,0,1,1,0,1,1,1,1,1
59,4,0.1829990222,-0.1276086463,-0.4795272389,0.2581524741,0.0554275444,0.0245068602,0.479426911,0.1893547528,-0.4754931885,-0.2276799247,0.3723911276,-0.0811478027,0.3300088812,0.3723910857,-0.2924567681,0.0311726557,0,0,0,0,1,1,1,1,1,1
60,6,0.1825028246,-0.0647723466,0.1101196363,0.3950651102,0.0721916947,-0.0268444049,-0.0465617137,-0.0531852097,-0.2891643167,-0.2673607657,0.1729077417,0.4847427319,-0.091242619,0.197546183,0.2354741246,0.1742516983,0,0,1,1,1,0,1,1,1,1
61,6,0.1783997968,0.1861574466,-0.0809678908,-0.267199393,-0.2108225274,-0.0809678908,0.2942150981,0.0906749468,0.3236581368,-0.132166724,-0.1153400277,0.3236581364,0.1591824293,-0.0123325404,0.0144843018,0.0135078526,0,0,1,1,1,0,1,1,1,1
62,5,0.1783932104,0.2163759452,-0.0217210198,-0.0986633047,-0.2691518044,-0.2717214376,0.0951948484,-0.2691518041,0.2282794566,0.0951948485,-0.122146929,0.4782790095,-0.1127014615,-0.4161559947,-0.0217209905,0.3030905671,0,0,0,0,0,1,1,1,1,1
63,6,0.1767766953,0.004014686,0.1510028062,0.2384269421,-0.4959882452,0.1510005855,-0.1129451688,0.0040124328,-0.348999906,0.2406082218,-0.4959880263,0.151000553,0.2406082218,0.0040124652,-0.349000125,-0.1129451688,0,0,0,0,1,1,0,0,1,1
64,8,0.1732050808,0.2033987616,-0.3258992269,0.1281290482,-0.1966013306,-0.1259009619,0.4109731831,0.1033985458,-0.0258997424,0.5523939393,-0.0966013971,-0.4258988132,-0.0132922638,0.0033987885,0.2740994918,-0.4375555278,0,0,1,1,1,0,1,1,0,0
65,6,0.1695328241,-0.2244237405,-0.2910510953,-0.0494401053,0.1556587678,0.3288663968,-0.0494401053,0.1995257648,-0.0073496058,-0.0494401052,0.439360257,-0.2471840973,-0.0494401052,0.111792336,-0.3349175268,-0.0494401045,0,0,1,1,1,0,1,1,1,1
66,4,0.1666666667,-0.0241170459,0.4923071578,0.3152822248,0.2334735513,0.249413759,-0.0408585286,-0.0238545794,0.2356131085,-0.40117419,0.4761454206,0.0689464419,0.3059325912,-0.0238545794,-0.0977202248,-0.40117419,0,0,0,0,0,0,0,1,1,1
67,8,0.1666666667,0.4404067792,-0.4475744956,0.0397869711,-0.0595936585,0.0524257411,0.275489225,0.1070730118,0.2190924043,0.0397869647,0.1070733976,0.2190921204,-0.4316174798,0.2737398971,0.3857589573,-0.1959152215,0,0,1,1,1,0,1,0,1,1
68,7,0.1443375673,0.3078715415,-0.3641190626,0.1737009581,0.057871535,-0.1141190586,0.5272543407,-0.1921284592,-0.3641190684,0.1737009534,-0.4421284609,-0.4474522495,0.0558497193,0.0578715391,-0.2807858599,0.2915521755,0,0,1,1,0,1,1,1,1,0
69,8,0.1414213562,0.0939787152,-0.0580354773,-0.313154639,0.1939786536,0.0419645842,0.3939526938,-0.0060213212,-0.1580354409,0.393952565,0.2939787143,0.1419645235,-0.3131545472,-0.1060213251,-0.258035437,-0.3131543548,0,0,1,1,1,0,1,1,0,0
70,6,0.125,-0.2317888913,-0.0932628318,-0.0651111479,0.0851663118,-0.4124554262,0.1921714082,-0.0398337364,-0.2874554423,0.3689480808,0.2101661873,0.4625444815,0.0153946901,0.3351662479,0.33754451,-0.1613819824,0,0,0,0,1,1,0,0,1,1
71,8,0.1,-0.1218557708,0.1043628227,0.3004075147,0.0781441153,-0.0956373501,0.5832501856,-0.3218558146,0.3043626967,0.0175647442,-0.2218557441,0.2043628036,0.1589861261,-0.0218558574,0.0043627279,0.4418288652,0,0,1,1,1,0,1,1,0,0
